date,link,text
2018-12-27 09:39,https://newyork.craigslist.org/lgi/egr/d/melville-architectural-drafter/6780991473.html,Architectural Drafter
2018-12-26 12:33,https://newyork.craigslist.org/que/egr/d/long-island-city-marble-granite-shop/6780391077.html,Marble/Granite Shop Worker
2018-12-26 10:03,https://newyork.craigslist.org/que/egr/d/bayside-architect-senior-intermediate/6780251620.html,ARCHITECT Senior/ Intermediate
2018-12-26 01:44,https://newyork.craigslist.org/mnh/egr/d/new-york-city-mechanical-designers/6780143703.html,Mechanical Designers
2018-12-25 12:58,https://newyork.craigslist.org/wch/egr/d/spring-valley-architectural-drafter/6779940493.html,Architectural Drafter
2018-12-24 15:01,https://newyork.craigslist.org/mnh/egr/d/new-york-city-nicet-ii-inspector/6779668998.html,NICET II Inspector
2018-12-24 15:00,https://newyork.craigslist.org/brk/egr/d/brooklyn-architect-drafter/6779668635.html,ARCHITECT/DRAFTER
2018-12-23 10:51,https://newyork.craigslist.org/mnh/egr/d/new-york-city-senior-architect/6779019586.html,Senior Architect
2018-12-21 15:34,https://newyork.craigslist.org/mnh/egr/d/new-york-city-head-of-design-and/6778010420.html,Head of Design and Construction
2018-12-21 12:51,https://newyork.craigslist.org/brk/egr/d/brooklyn-glazing-project-manager/6777860962.html,Glazing Project Manager
2018-12-21 12:38,https://newyork.craigslist.org/lgi/egr/d/hicksville-kitchen-designer-wanted/6777847672.html,Kitchen Designer Wanted!
2018-12-21 09:55,https://newyork.craigslist.org/que/egr/d/maspeth-hvac-drafter/6777700567.html,HVAC Drafter
2018-12-21 09:54,https://newyork.craigslist.org/que/egr/d/hvac-estimator/6777699610.html,HVAC Estimator
2018-12-20 16:35,https://newyork.craigslist.org/mnh/egr/d/architectural-consultant-expediter/6777321960.html,Architectural Consultant/Expediter
2018-12-20 16:26,https://newyork.craigslist.org/mnh/egr/d/new-york-city-interior-designer-3d/6777314998.html,Interior Designer & 3D Modeler - Hospitality
2018-12-20 11:59,https://newyork.craigslist.org/mnh/egr/d/new-york-city-lighting-project-manager/6777070763.html,Lighting Project Manager
2018-12-20 11:26,https://newyork.craigslist.org/mnh/egr/d/new-york-city-part-time-license/6777038370.html,part time license engineer and master plumber
2018-12-19 23:19,https://newyork.craigslist.org/brk/egr/d/brooklyn-help-desgn-and-buld-devce-to/6776808550.html,Help Desıgn and Buıld a Devıce to Test Small Electronıcs
2018-12-19 17:07,https://newyork.craigslist.org/jsy/egr/d/union-city-cad-drafter/6776602537.html,CAD DRAFTER
2018-12-19 17:03,https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-manager/6776599049.html,Construction Manager
2018-12-19 15:28,https://newyork.craigslist.org/mnh/egr/d/new-york-city-revit-designer-with/6776517658.html,REVIT Designer with Experience WANTED
2018-12-19 12:10,https://newyork.craigslist.org/mnh/egr/d/new-york-city-mid-level-to-senior-level/6776324508.html,Mid-Level to Senior Level Project Manager/Architect
2018-12-19 10:34,https://newyork.craigslist.org/mnh/egr/d/new-york-city-site-superintendent/6776232000.html,Site SuperIntendent/ Construction Project Manager/ Violation Mgr
2018-12-19 10:17,https://newyork.craigslist.org/mnh/egr/d/new-york-city-electrical-estimator/6776217605.html,Electrical Estimator
2018-12-19 10:15,https://newyork.craigslist.org/mnh/egr/d/astoria-jr-estimator-drafter-needed-in/6776215665.html,Jr Estimator/Drafter needed in LIC
2018-12-19 10:14,https://newyork.craigslist.org/mnh/egr/d/astoria-stone-project-manager-senior/6776214938.html,Stone Project Manager - Senior Position
2018-12-18 19:41,https://newyork.craigslist.org/que/egr/d/east-elmhurst-engineering-architecture/6775936741.html,Engineering/ Architecture Positing
2018-12-18 18:34,https://newyork.craigslist.org/brk/egr/d/junior-to-intermediate-architect/6775893510.html,Junior to Intermediate Architect
2018-12-18 13:25,https://newyork.craigslist.org/que/egr/d/long-island-city-design-assistant/6775620367.html,Design Assistant
2018-12-18 10:46,https://newyork.craigslist.org/mnh/egr/d/new-york-city-qa-inspector-heat-pumps/6775457120.html,QA Inspector - Heat Pumps
2018-12-18 10:46,https://newyork.craigslist.org/lgi/egr/d/melville-architectural-drafter/6775457078.html,Architectural Drafter
2018-12-18 10:22,https://newyork.craigslist.org/que/egr/d/long-island-city-construction/6775434960.html,CONSTRUCTION SUPERINTENDENT
2018-12-18 09:53,https://newyork.craigslist.org/mnh/egr/d/new-york-city-senior-architect-designer/6775411588.html,Senior Architect/Designer
2018-12-18 09:43,https://newyork.craigslist.org/mnh/egr/d/new-york-city-career-opportunities-for/6775403707.html,Career Opportunities for Immigrant Engineer Professionals
2018-12-18 09:05,https://newyork.craigslist.org/wch/egr/d/yonkers-window-door-drafter-needed/6775377048.html,Window & Door Drafter Needed
2018-12-18 08:21,https://newyork.craigslist.org/mnh/egr/d/new-york-city-construction-super-apm/6775355369.html,Construction Super / APM / High End Residential
2018-12-17 17:49,https://newyork.craigslist.org/lgi/egr/d/project-architect/6775059637.html,PROJECT ARCHITECT
2018-12-17 13:41,https://newyork.craigslist.org/mnh/egr/d/new-york-city-assistant-project-manager/6774821822.html,Assistant project Manager for Hospitality Builder
2018-12-17 12:22,https://newyork.craigslist.org/mnh/egr/d/seeking-full-time-class-2-permit/6774735029.html,Seeking Full Time Class 2 Permit Expeditor
2018-12-17 10:15,https://newyork.craigslist.org/mnh/egr/d/new-york-city-autocad-revit-drafter-40/6774601939.html,AutoCAD/Revit Drafter --  $40-45k
2018-12-17 09:26,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architecture-intern/6774562927.html,Architecture Intern
2018-12-16 15:18,https://newyork.craigslist.org/que/egr/d/project-manager/6774156376.html,Project Manager
2018-12-15 15:30,https://newyork.craigslist.org/brk/egr/d/brooklyn-intermediate-architect/6773541154.html,Intermediate Architect
2018-12-14 17:56,https://newyork.craigslist.org/brk/egr/d/new-york-city-small-architecture-and/6772904922.html,Small Architecture and Design Studio
2018-12-14 17:05,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-junior/6772863264.html,Facade / Building Envelope Junior Architect
2018-12-14 17:02,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project/6772860360.html,Facade / Building Envelope Project Architect
2018-12-14 17:01,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6772859564.html,Facade / Building Envelope Structural Project Engineer
2018-12-14 17:00,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect/6772858421.html,Facade / Building Envelope Architect
2018-12-14 16:59,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6772857690.html,Facade / Building Envelope Structural Engineer
2018-12-14 15:39,https://newyork.craigslist.org/jsy/egr/d/morristown-cad-drafter-engineering/6772787012.html,CAD Drafter (Engineering)
2018-12-14 14:03,https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-architect/6772693141.html,Junior Architect
2018-12-14 13:21,https://newyork.craigslist.org/que/egr/d/estimator-assistant-project-manager/6772648819.html,Estimator / Assistant Project Manager
2018-12-14 12:33,https://newyork.craigslist.org/mnh/egr/d/new-york-city-senior-site/6772596632.html,Senior Site SuperIntendent  /  Construction Project Manager
2018-12-14 11:43,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-3-10-years/6772542574.html,Architect 3-10 Years' Experience
2018-12-13 20:38,https://newyork.craigslist.org/wch/egr/d/thornwood-apms-and-assistant-supers/6772206653.html,APMs and Assistant Supers looking for growth?
2018-12-13 17:31,https://newyork.craigslist.org/que/egr/d/change-your-career-earn-up-to-100k/6772083976.html,CHANGE YOUR CAREER: EARN up to $100K+ CLOSING IN-HOME SALES
2018-12-13 15:56,https://newyork.craigslist.org/que/egr/d/astoria-mechanical-field-engineers/6772000861.html,Mechanical Field Engineers (Building Construction)
2018-12-13 10:33,https://newyork.craigslist.org/brk/egr/d/brooklyn-autocad-drafter/6771676156.html,AUTOCAD DRAFTER
2018-12-13 10:32,https://newyork.craigslist.org/mnh/egr/d/architects/6771675184.html,Architects
2018-12-13 09:45,https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-supervisor-40-50k/6771635422.html,Project Supervisor -- $40-50k
2018-12-12 22:56,https://newyork.craigslist.org/jsy/egr/d/pittsburgh-construction-manager/6771476077.html,Construction Manager
2018-12-12 17:08,https://newyork.craigslist.org/mnh/egr/d/walden-architect/6771265425.html,Architect
2018-12-12 16:59,https://newyork.craigslist.org/que/egr/d/estimator-construction-asap/6771257082.html,Estimator - Construction *ASAP*
2018-12-12 16:51,https://newyork.craigslist.org/mnh/egr/d/draftsperson-detailer/6771249307.html,Draftsperson Detailer
2018-12-12 16:25,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural-interior/6771230111.html,Architectural & Interior Design Internship
2018-12-12 13:43,https://newyork.craigslist.org/mnh/egr/d/new-york-city-dob-filing-rep-expediter/6771076782.html,DOB Filing Rep / Expediter Part Time
2018-12-12 12:25,https://newyork.craigslist.org/brk/egr/d/brooklyn-hiring-architectural-designer/6770993739.html,"Hiring Architectural Designer, Sculptors, Clay Modelers"
2018-12-12 11:34,https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-architect/6770938515.html,Project Architect
2018-12-12 10:59,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural-project/6770902962.html,Architectural Project Manager
2018-12-11 19:01,https://newyork.craigslist.org/mnh/egr/d/staten-island-testing-and-balancing-tab/6770543051.html,Testing and Balancing (TAB) Technician
2018-12-11 15:53,https://newyork.craigslist.org/wch/egr/d/inside-sales-engineering-role-salary/6770384902.html,Inside Sales Engineering Role (Salary/Full-Time)
2018-12-11 15:20,https://newyork.craigslist.org/brk/egr/d/brooklyn-nyc-dob-expediters-seeking/6770352294.html,NYC DOB Expediters Seeking Class 2 Filing Rep
2018-12-11 12:21,https://newyork.craigslist.org/brk/egr/d/new-york-city-hiring-an-intermediate/6770158761.html,Hiring an Intermediate/Senior Interior Designer
2018-12-11 12:17,https://newyork.craigslist.org/mnh/egr/d/new-york-city-restaurant-interior-design/6770154420.html,Restaurant Interior Design
2018-12-11 11:47,https://newyork.craigslist.org/lgi/egr/d/hicksville-mechanical-engineer/6770121402.html,Mechanical Engineer
2018-12-11 11:27,https://newyork.craigslist.org/stn/egr/d/staten-island-math-specialist/6770100492.html,MATH Specialist
2018-12-11 10:49,https://newyork.craigslist.org/lgi/egr/d/hicksville-kitchen-designer-wanted/6770062399.html,Kitchen Designer Wanted!
2018-12-11 09:41,https://newyork.craigslist.org/mnh/egr/d/astoria-stone-project-manager-senior/6770003884.html,Stone Project Manager - Senior Position
2018-12-11 09:41,https://newyork.craigslist.org/mnh/egr/d/astoria-stone-jr-estimator/6770003576.html,Stone Jr Estimator
2018-12-11 09:20,https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-architect-with/6769987876.html,Junior Architect with Purchasing Experience
2018-12-11 09:07,https://newyork.craigslist.org/que/egr/d/project-architects/6769978106.html,Project Architect(s)
2018-12-10 18:05,https://newyork.craigslist.org/que/egr/d/flushing-structural-engineer-3-5-yrs-exp/6769659241.html,Structural Engineer (3-5 yrs Exp.)
2018-12-10 17:47,https://newyork.craigslist.org/que/egr/d/flushing-construction-project-manager/6769644305.html,Construction Project Manager/Foreman-Bilingual in Chinese
2018-12-10 16:22,https://newyork.craigslist.org/mnh/egr/d/electrical-engineer/6769566326.html,Electrical Engineer
2018-12-10 15:47,https://newyork.craigslist.org/que/egr/d/bayside-project-architect-manager/6769532128.html,Project Architect/Manager
